/* DATA DESCRIPTION:
Citation:	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): Bulk stable-isotope measurements of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.833212, 
	In supplement to: Littler, K et al. (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
Further details:	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, https://doi.org/10.1016/j.palaeo.2007.09.016
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
	Zachos, James C; Röhl, Ursula; Schellenberg, Stephen A; Sluijs, Appy; Hodell, David A; Kelly, Daniel Clay; Thomas, Ellen; Nicolo, Micah J; Raffi, Isabella; Lourens, Lucas Joost; McCarren, H; Kroon, Dick (2005): Rapid Acidification of the Ocean During the Paleocene-Eocene Thermal Maximum. Science, 308(5728), 1611-1615, https://doi.org/10.1126/science.1109004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.490 m * MAXIMUM DEPTH, sediment/rock: 184.980 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	DEPTH, sediment/rock = Depth (mcd).
	New data for this study was collected at MARUM ("Littler et al., 2014 (MARUM)"), and is combined with data from existing studies (see "data source" column) to give one continuous dataset. All values relative to VPDB.
	Age model is based on option 1 of Westerhold et al., 2008 (W08), extended in this study to encompass depths 103-113 mcd.
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ13C [‰ PDB] (δ13C) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	δ18O [‰] (δ18O) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	Reference/source (Reference) * PI: Littler, Kate (k.littler@exeter.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8046 data points
*/
Depth sed [m]	Age [ka BP]	δ13C [‰ PDB]	δ18O [‰]	Reference
128.170	54530.464	1.920	-0.140	Zachos et al., 2010
128.200	54532.672	1.920	-0.100	Zachos et al., 2010
128.230	54534.880	1.930	-0.100	Zachos et al., 2010
128.260	54537.088	1.920	-0.140	Zachos et al., 2010
128.290	54539.296	1.940	-0.080	Zachos et al., 2010
128.320	54541.504	1.930	-0.090	Zachos et al., 2010
128.350	54543.712	2.020	-0.080	Zachos et al., 2010
128.380	54545.920	1.950	-0.250	Zachos et al., 2010
128.410	54548.128	1.940	-0.190	Zachos et al., 2010
128.440	54550.336	1.950	-0.290	Zachos et al., 2010
128.470	54552.544	1.970	-0.250	Zachos et al., 2010
128.500	54554.752	2.000	-0.220	Zachos et al., 2010
128.620	54563.584	2.010	-0.230	Zachos et al., 2010
128.650	54565.792	1.980	-0.300	Zachos et al., 2010
128.680	54568.000	1.980	-0.370	Zachos et al., 2010
128.710	54570.237	1.910	-0.430	Zachos et al., 2010
128.740	54572.474	1.930	-0.350	Zachos et al., 2010
128.770	54574.711	1.940	-0.430	Zachos et al., 2010
128.800	54576.948	1.970	-0.350	Zachos et al., 2010
128.830	54579.185	2.040	-0.290	Zachos et al., 2010
128.860	54581.422	2.000	-0.310	Zachos et al., 2010
128.890	54583.659	1.990	-0.320	Zachos et al., 2010
128.920	54585.896	1.980	-0.370	Zachos et al., 2010
128.950	54588.133	2.050	-0.330	Zachos et al., 2010
128.980	54590.370	1.960	-0.440	Zachos et al., 2010
129.010	54592.607	1.950	-0.490	Zachos et al., 2010
129.040	54594.844	1.960	-0.370	Zachos et al., 2010
129.070	54597.081	1.970	-0.320	Zachos et al., 2010
129.100	54599.318	1.970	-0.300	Zachos et al., 2010
129.130	54601.555	1.980	-0.350	Zachos et al., 2010
129.160	54603.792	1.940	-0.240	Zachos et al., 2010
129.190	54606.029	1.950	-0.290	Zachos et al., 2010
129.220	54608.266	1.970	-0.340	Zachos et al., 2010
129.250	54610.503	1.980	-0.350	Zachos et al., 2010
129.280	54612.740	2.000	-0.280	Zachos et al., 2010
129.310	54614.977	2.030	-0.310	Zachos et al., 2010
129.340	54617.214	2.030	-0.240	Zachos et al., 2010
129.370	54619.451	2.010	-0.250	Zachos et al., 2010
129.400	54621.688	2.000	-0.290	Zachos et al., 2010
129.430	54623.925	2.020	-0.290	Zachos et al., 2010
129.460	54626.162	2.060	-0.250	Zachos et al., 2010
129.490	54628.399	2.050	0.060	Zachos et al., 2010
129.520	54630.636	2.000	-0.090	Zachos et al., 2010
129.550	54632.873	2.010	-0.230	Zachos et al., 2010
129.580	54635.110	1.970	-0.300	Zachos et al., 2010
129.590	54635.855	1.940	-0.200	Zachos et al., 2010
129.610	54637.347	1.950	-0.300	Zachos et al., 2010
129.620	54638.092	2.020	-0.210	Zachos et al., 2010
129.640	54639.584	1.920	-0.340	Zachos et al., 2010
129.650	54640.329	1.850	-0.200	Zachos et al., 2010
129.670	54641.821	1.980	-0.260	Zachos et al., 2010
129.680	54642.566	1.990	-0.140	Zachos et al., 2010
129.700	54644.058	2.000	-0.250	Zachos et al., 2010
129.710	54644.803	1.900	-0.230	Zachos et al., 2010
129.730	54646.295	1.980	-0.210	Zachos et al., 2010
129.740	54647.040	2.070	-0.190	Zachos et al., 2010
129.760	54648.532	1.960	-0.230	Zachos et al., 2010
129.770	54649.277	2.050	-0.310	Zachos et al., 2010
129.800	54651.514	1.950	-0.170	Zachos et al., 2010
129.830	54653.751	1.880	-0.250	Zachos et al., 2010
129.860	54655.988	1.970	-0.250	Zachos et al., 2010
129.890	54658.225	1.960	-0.300	Zachos et al., 2010
129.920	54660.462	1.930	-0.240	Zachos et al., 2010
129.950	54662.699	1.870	-0.240	Zachos et al., 2010
129.980	54664.936	2.020	-0.410	Zachos et al., 2010
130.010	54667.173	1.950	-0.300	Zachos et al., 2010
130.040	54669.410	1.980	-0.320	Zachos et al., 2010
130.070	54671.647	1.840	-0.270	Zachos et al., 2010
130.100	54673.884	1.910	-0.340	Zachos et al., 2010
130.130	54676.121	1.960	-0.390	Zachos et al., 2010
130.160	54678.358	1.920	-0.290	Zachos et al., 2010
130.190	54680.595	1.930	-0.220	Zachos et al., 2010
130.220	54682.832	1.900	-0.320	Zachos et al., 2010
130.280	54687.306	1.970	-0.410	Zachos et al., 2010
130.310	54689.543	1.920	-0.380	Zachos et al., 2010
130.340	54691.780	1.880	-0.510	Zachos et al., 2010
130.370	54694.017	1.870	-0.300	Zachos et al., 2010
130.400	54696.254	1.910	-0.340	Zachos et al., 2010
130.430	54698.600	1.870	-0.270	Zachos et al., 2010
130.460	54701.000	1.880	-0.360	Zachos et al., 2010
130.490	54703.400	1.920	-0.370	Zachos et al., 2010
130.520	54705.800	1.940	-0.310	Zachos et al., 2010
130.550	54708.200	1.990	-0.140	Zachos et al., 2010
130.580	54710.600	1.940	-0.320	Zachos et al., 2010
130.610	54713.000	1.860	-0.340	Zachos et al., 2010
130.640	54715.400	1.840	-0.370	Zachos et al., 2010
130.670	54717.800	1.800	-0.460	Zachos et al., 2010
130.700	54720.200	1.720	-0.490	Zachos et al., 2010
130.730	54722.600	1.710	-0.500	Zachos et al., 2010
130.760	54725.000	1.750	-0.480	Zachos et al., 2010
130.790	54727.400	1.790	-0.450	Zachos et al., 2010
130.820	54729.800	1.840	-0.370	Zachos et al., 2010
130.850	54732.200	1.890	-0.260	Zachos et al., 2010
130.880	54734.600	1.860	-0.310	Zachos et al., 2010
130.910	54737.000	1.890	-0.280	Zachos et al., 2010
130.940	54739.400	1.810	-0.390	Zachos et al., 2010
130.970	54741.800	1.690	-0.470	Zachos et al., 2010
131.000	54744.200	1.600	-0.520	Zachos et al., 2010
131.030	54746.600	1.680	-0.620	Zachos et al., 2010
131.060	54749.000	1.760	-0.400	Zachos et al., 2010
131.090	54751.400	1.750	-0.430	Zachos et al., 2010
131.120	54753.800	1.770	-0.400	Zachos et al., 2010
131.150	54756.200	1.780	-0.500	Zachos et al., 2010
131.180	54758.542	1.660	-0.580	Zachos et al., 2010
131.210	54760.856	1.570	-0.470	Zachos et al., 2010
131.240	54763.169	1.690	-0.650	Zachos et al., 2010
131.270	54765.483	1.700	-0.650	Zachos et al., 2010
131.300	54767.797	1.890	-0.450	Zachos et al., 2010
131.330	54770.110	1.940	-0.530	Zachos et al., 2010
131.360	54772.424	1.950	-0.420	Zachos et al., 2010
131.390	54774.737	1.980	-0.440	Zachos et al., 2010
131.420	54777.051	1.860	-0.560	Zachos et al., 2010
131.450	54779.364	1.950	-0.390	Zachos et al., 2010
131.480	54781.678	1.910	-0.450	Zachos et al., 2010
131.510	54783.992	1.870	-0.350	Zachos et al., 2010
131.540	54786.305	1.900	-0.500	Zachos et al., 2010
131.570	54788.619	1.890	-0.600	Zachos et al., 2010
131.600	54790.932	1.890	-0.530	Zachos et al., 2010
131.630	54793.246	1.940	-0.500	Zachos et al., 2010
131.660	54795.559	1.920	-0.560	Zachos et al., 2010
131.690	54797.873	1.940	-0.530	Zachos et al., 2010
131.720	54800.186	1.960	-0.540	Zachos et al., 2010
131.750	54802.500	1.970	-0.540	Zachos et al., 2010
131.780	54804.814	1.980	-0.380	Zachos et al., 2010
131.810	54807.127	1.910	-0.370	Zachos et al., 2010
131.840	54809.441	1.890	-0.400	Zachos et al., 2010
131.870	54811.754	1.880	-0.330	Zachos et al., 2010
131.900	54814.068	1.860	-0.450	Zachos et al., 2010
131.930	54816.381	1.850	-0.400	Zachos et al., 2010
131.960	54818.695	1.870	-0.350	Zachos et al., 2010
131.990	54821.008	1.890	-0.290	Zachos et al., 2010
132.020	54823.322	1.910	-0.370	Zachos et al., 2010
132.050	54825.636	1.930	-0.520	Zachos et al., 2010
132.080	54827.949	1.910	-0.350	Zachos et al., 2010
132.110	54830.263	1.810	-0.440	Zachos et al., 2010
132.140	54832.576	1.870	-0.580	Zachos et al., 2010
132.170	54834.890	1.630	-0.530	Zachos et al., 2010
132.200	54837.203	1.740	-0.590	Zachos et al., 2010
132.230	54839.517	1.880	-0.380	Zachos et al., 2010
132.260	54841.831	1.900	-0.580	Zachos et al., 2010
132.290	54844.144	1.840	-0.540	Zachos et al., 2010
132.320	54846.458	1.890	-0.550	Zachos et al., 2010
132.350	54848.767	1.870	-0.590	Zachos et al., 2010
132.380	54851.067	1.790	-0.620	Zachos et al., 2010
132.410	54853.367	1.840	-0.590	Zachos et al., 2010
132.440	54855.667	1.870	-0.540	Zachos et al., 2010
132.470	54857.967	1.920	-0.460	Zachos et al., 2010
132.500	54860.267	2.010	-0.300	Zachos et al., 2010
132.530	54862.567	2.010	-0.310	Zachos et al., 2010
132.560	54864.867	1.980	-0.290	Zachos et al., 2010
132.590	54867.167	2.020	-0.490	Zachos et al., 2010
132.620	54869.467	1.820	-0.620	Zachos et al., 2010
132.650	54871.767	1.920	-0.310	Zachos et al., 2010
132.680	54874.067	1.780	-0.630	Zachos et al., 2010
132.710	54876.367	1.890	-0.470	Zachos et al., 2010
132.740	54878.667	1.940	-0.510	Zachos et al., 2010
132.770	54880.967	2.010	-0.470	Zachos et al., 2010
132.800	54883.267	1.970	-0.350	Zachos et al., 2010
132.830	54885.567	2.000	-0.340	Zachos et al., 2010
132.860	54887.867	1.950	-0.470	Zachos et al., 2010
132.890	54890.167	1.950	-0.430	Zachos et al., 2010
132.920	54892.467	1.950	-0.460	Zachos et al., 2010
132.950	54894.767	1.900	-0.380	Zachos et al., 2010
132.980	54897.067	1.870	-0.380	Zachos et al., 2010
133.010	54899.367	1.870	-0.370	Zachos et al., 2010
133.040	54901.667	1.850	-0.340	Zachos et al., 2010
133.070	54903.967	1.840	-0.310	Zachos et al., 2010
133.100	54906.267	1.830	-0.280	Zachos et al., 2010
133.130	54908.567	1.870	-0.340	Zachos et al., 2010
133.160	54910.867	1.870	-0.360	Zachos et al., 2010
133.190	54913.167	1.880	-0.360	Zachos et al., 2010
133.220	54915.467	1.890	-0.380	Zachos et al., 2010
133.250	54917.767	1.880	-0.410	Zachos et al., 2010
133.280	54920.067	1.820	-0.440	Zachos et al., 2010
133.310	54922.367	1.780	-0.410	Zachos et al., 2010
133.340	54924.667	1.770	-0.470	Zachos et al., 2010
133.370	54926.967	1.740	-0.490	Zachos et al., 2010
133.400	54929.267	1.750	-0.480	Zachos et al., 2010
133.430	54931.567	1.780	-0.310	Zachos et al., 2010
133.460	54933.867	1.780	-0.320	Zachos et al., 2010
133.490	54936.167	1.760	-0.400	Zachos et al., 2010
133.520	54938.467	1.730	-0.460	Zachos et al., 2010
133.550	54940.708	1.650	-0.610	Zachos et al., 2010
133.580	54942.831	1.560	-0.670	Zachos et al., 2010
133.610	54944.954	1.570	-0.690	Zachos et al., 2010
133.640	54947.077	1.620	-0.660	Zachos et al., 2010
133.670	54949.200	1.670	-0.610	Zachos et al., 2010
133.700	54951.323	1.790	-0.530	Zachos et al., 2010
133.730	54953.446	1.830	-0.480	Zachos et al., 2010
133.760	54955.569	1.830	-0.490	Zachos et al., 2010
133.790	54957.692	1.830	-0.480	Zachos et al., 2010
133.820	54959.815	1.800	-0.560	Zachos et al., 2010
133.850	54961.938	1.820	-0.480	Zachos et al., 2010
133.880	54964.062	1.770	-0.660	Zachos et al., 2010
133.910	54966.185	1.790	-0.640	Zachos et al., 2010
133.940	54968.308	1.810	-0.600	Zachos et al., 2010
133.950	54969.015	1.880	-0.490	Zachos et al., 2010
133.970	54970.431	1.940	-0.390	Zachos et al., 2010
133.980	54971.138	1.840	-0.450	Zachos et al., 2010
134.000	54972.554	1.880	-0.340	Zachos et al., 2010
134.010	54973.262	1.880	-0.270	Zachos et al., 2010
134.030	54974.677	1.910	-0.370	Zachos et al., 2010
134.040	54975.385	1.870	-0.270	Zachos et al., 2010
134.070	54977.508	1.860	-0.420	Zachos et al., 2010
134.100	54979.631	1.870	-0.450	Zachos et al., 2010
134.130	54981.754	1.850	-0.440	Zachos et al., 2010
134.160	54983.877	1.790	-0.520	Zachos et al., 2010
134.190	54986.000	1.830	-0.410	Zachos et al., 2010
134.220	54988.123	1.860	-0.420	Zachos et al., 2010
134.250	54990.246	1.860	-0.350	Zachos et al., 2010
134.280	54992.369	1.970	-0.260	Zachos et al., 2010
134.310	54994.492	1.890	-0.310	Zachos et al., 2010
134.340	54996.615	1.910	-0.390	Zachos et al., 2010
134.370	54998.738	1.870	-0.390	Zachos et al., 2010
134.400	55000.862	1.840	-0.490	Zachos et al., 2010
134.430	55002.985	1.840	-0.410	Zachos et al., 2010
134.460	55005.108	1.850	-0.490	Zachos et al., 2010
134.490	55007.231	1.890	-0.420	Zachos et al., 2010
134.520	55009.354	1.860	-0.430	Zachos et al., 2010
134.550	55011.477	1.860	-0.380	Zachos et al., 2010
134.580	55013.600	1.880	-0.370	Zachos et al., 2010
134.610	55015.723	1.850	-0.400	Zachos et al., 2010
134.640	55017.846	1.910	-0.370	Zachos et al., 2010
134.670	55019.969	1.910	-0.420	Zachos et al., 2010
134.700	55022.092	1.930	-0.420	Zachos et al., 2010
134.730	55024.215	1.810	-0.580	Zachos et al., 2010
134.760	55026.338	1.850	-0.520	Zachos et al., 2010
134.790	55028.462	1.880	-0.480	Zachos et al., 2010
134.820	55030.585	1.810	-0.470	Zachos et al., 2010
134.850	55032.752	1.760	-0.500	Zachos et al., 2010
134.880	55035.008	1.770	-0.530	Zachos et al., 2010
134.910	55037.264	1.750	-0.540	Zachos et al., 2010
134.940	55039.520	1.860	-0.520	Zachos et al., 2010
134.970	55041.776	1.860	-0.510	Zachos et al., 2010
135.000	55044.032	1.940	-0.390	Zachos et al., 2010
135.030	55046.288	1.940	-0.390	Zachos et al., 2010
135.060	55048.544	1.910	-0.430	Zachos et al., 2010
135.090	55050.800	1.910	-0.470	Zachos et al., 2010
135.120	55053.056	1.900	-0.370	Zachos et al., 2010
135.150	55055.312	1.890	-0.430	Zachos et al., 2010
135.180	55057.568	1.860	-0.430	Zachos et al., 2010
135.210	55059.824	1.900	-0.390	Zachos et al., 2010
135.240	55062.080	1.910	-0.330	Zachos et al., 2010
135.270	55064.336	1.950	-0.300	Zachos et al., 2010
135.300	55066.592	1.910	-0.320	Zachos et al., 2010
135.330	55068.848	1.910	-0.320	Zachos et al., 2010
135.360	55071.104	1.870	-0.260	Zachos et al., 2010
135.390	55073.360	1.880	-0.390	Zachos et al., 2010
135.420	55075.616	1.960	-0.340	Zachos et al., 2010
135.450	55077.872	1.920	-0.430	Zachos et al., 2010
135.480	55080.128	1.920	-0.310	Zachos et al., 2010
135.510	55082.384	1.900	-0.260	Zachos et al., 2010
135.540	55084.640	1.880	-0.340	Zachos et al., 2010
135.570	55086.896	1.860	-0.350	Zachos et al., 2010
135.600	55089.152	1.840	-0.410	Zachos et al., 2010
135.630	55091.408	1.910	-0.390	Zachos et al., 2010
135.660	55093.664	1.810	-0.490	Zachos et al., 2010
135.690	55095.920	1.910	-0.350	Zachos et al., 2010
135.720	55098.176	1.850	-0.410	Zachos et al., 2010
135.750	55100.432	1.870	-0.340	Zachos et al., 2010
135.780	55102.688	1.870	-0.240	Zachos et al., 2010
135.810	55104.944	1.900	-0.310	Zachos et al., 2010
135.840	55107.200	1.880	-0.330	Zachos et al., 2010
135.870	55109.456	1.850	-0.390	Zachos et al., 2010
135.900	55111.712	1.820	-0.560	Zachos et al., 2010
135.930	55113.968	1.830	-0.570	Zachos et al., 2010
135.960	55116.224	1.830	-0.560	Zachos et al., 2010
135.990	55118.480	1.880	-0.530	Zachos et al., 2010
136.020	55120.736	1.890	-0.460	Zachos et al., 2010
136.050	55122.992	1.920	-0.360	Zachos et al., 2010
136.080	55125.248	1.870	-0.360	Zachos et al., 2010
136.110	55127.915	1.800	-0.500	Zachos et al., 2010
136.140	55130.788	1.810	-0.480	Zachos et al., 2010
136.170	55133.661	1.770	-0.500	Zachos et al., 2010
136.200	55136.534	1.770	-0.510	Zachos et al., 2010
136.230	55139.407	1.800	-0.440	Zachos et al., 2010
136.260	55142.280	1.810	-0.380	Zachos et al., 2010
136.290	55145.153	1.850	-0.290	Zachos et al., 2010
136.320	55148.025	1.800	-0.290	Zachos et al., 2010
136.350	55150.898	1.750	-0.380	Zachos et al., 2010
136.380	55153.771	1.740	-0.580	Zachos et al., 2010
136.410	55156.644	1.720	-0.730	Zachos et al., 2010
136.440	55159.517	1.770	-0.670	Zachos et al., 2010
136.470	55162.390	1.920	-0.430	Zachos et al., 2010
136.500	55165.263	1.970	-0.370	Zachos et al., 2010
136.530	55168.136	2.010	-0.360	Zachos et al., 2010
136.560	55171.008	1.980	-0.330	Zachos et al., 2010
136.590	55173.881	2.000	-0.280	Zachos et al., 2010
136.620	55176.754	2.000	-0.250	Zachos et al., 2010
136.650	55179.627	2.000	-0.280	Zachos et al., 2005
136.680	55182.500	1.980	-0.280	Zachos et al., 2005
136.710	55185.373	2.010	-0.310	Zachos et al., 2005
136.740	55188.246	2.000	-0.290	Zachos et al., 2005
136.750	55189.203	2.030	-0.440	Zachos et al., 2005
136.770	55191.119	1.970	-0.390	Zachos et al., 2005
136.780	55192.076	2.030	-0.390	Zachos et al., 2005
136.800	55193.992	1.960	-0.400	Zachos et al., 2005
136.810	55194.949	2.030	-0.440	Zachos et al., 2005
136.830	55196.864	1.970	-0.370	Zachos et al., 2005
136.860	55199.737	1.970	-0.390	Zachos et al., 2005
136.870	55200.695	2.000	-0.440	Zachos et al., 2005
136.890	55202.610	1.970	-0.330	Zachos et al., 2005
136.900	55203.568	1.980	-0.420	Zachos et al., 2005
136.920	55205.483	1.990	-0.260	Zachos et al., 2005
136.930	55206.441	1.980	-0.510	Zachos et al., 2005
136.950	55208.356	1.960	-0.330	Zachos et al., 2005
136.960	55209.314	1.890	-0.490	Zachos et al., 2005
136.980	55211.229	1.960	-0.290	Zachos et al., 2005
137.010	55214.102	1.960	-0.350	Zachos et al., 2005
137.020	55215.059	1.860	-0.560	Zachos et al., 2005
137.040	55216.975	1.890	-0.330	Zachos et al., 2005
137.050	55217.932	1.890	-0.630	Zachos et al., 2005
137.070	55219.847	1.900	-0.350	Zachos et al., 2005
137.080	55220.805	1.920	-0.490	Zachos et al., 2005
137.100	55222.720	1.860	-0.370	Zachos et al., 2005
137.110	55223.678	1.920	-0.540	Zachos et al., 2005
137.130	55225.593	1.900	-0.430	Zachos et al., 2005
137.160	55228.466	1.930	-0.330	Zachos et al., 2005
137.170	55229.424	1.960	-0.440	Zachos et al., 2005
137.190	55231.339	1.930	-0.320	Zachos et al., 2005
137.200	55232.297	1.950	-0.340	Zachos et al., 2005
137.220	55234.212	1.920	-0.300	Zachos et al., 2005
137.230	55235.169	1.840	-0.540	Zachos et al., 2005
137.250	55237.085	1.870	-0.390	Zachos et al., 2005
137.280	55239.804	1.810	-0.400	Zachos et al., 2005
137.320	55243.018	1.880	-0.530	Zachos et al., 2005
137.350	55245.429	1.930	-0.580	Zachos et al., 2005
137.410	55250.250	2.000	-0.540	Zachos et al., 2005
137.470	55255.071	1.910	-0.620	Zachos et al., 2005
137.500	55257.482	1.870	-0.740	Zachos et al., 2005
137.530	55259.893	1.900	-0.690	Zachos et al., 2005
137.560	55262.304	1.970	-0.530	Zachos et al., 2005
137.620	55267.125	2.010	-0.590	Zachos et al., 2005
137.650	55269.536	2.060	-0.590	Zachos et al., 2005
137.680	55271.946	2.050	-0.580	Zachos et al., 2005
137.710	55274.357	1.990	-0.630	Zachos et al., 2005
137.770	55279.179	1.970	-0.650	Zachos et al., 2005
137.800	55281.589	1.980	-0.650	Zachos et al., 2005
137.830	55284.000	2.020	-0.640	Zachos et al., 2005
137.860	55286.411	2.060	-0.610	Zachos et al., 2005
137.920	55291.232	2.070	-0.590	Zachos et al., 2005
137.950	55293.643	2.050	-0.520	Zachos et al., 2005
137.980	55296.054	2.060	-0.430	Zachos et al., 2005
138.010	55298.464	2.080	-0.460	Zachos et al., 2005
138.070	55303.286	2.030	-0.490	Zachos et al., 2005
138.100	55305.696	1.990	-0.540	Zachos et al., 2005
138.130	55308.107	1.990	-0.560	Zachos et al., 2005
138.160	55310.518	1.980	-0.510	Zachos et al., 2005
138.220	55315.339	1.970	-0.410	Zachos et al., 2005
138.250	55317.750	2.020	-0.360	Zachos et al., 2005
138.280	55320.161	2.040	-0.340	Zachos et al., 2005
138.310	55322.571	1.970	-0.410	Zachos et al., 2005
138.340	55324.982	1.840	-0.720	Zachos et al., 2005
138.370	55327.393	1.930	-0.490	Zachos et al., 2005
138.400	55329.671	1.960	-0.570	Zachos et al., 2005
138.430	55331.684	1.850	-0.730	Zachos et al., 2005
138.460	55333.696	1.830	-0.660	Zachos et al., 2005
138.490	55335.709	1.880	-0.480	Zachos et al., 2005
138.520	55337.722	1.820	-0.620	Zachos et al., 2005
138.550	55339.734	1.840	-0.600	Zachos et al., 2005
138.580	55341.747	1.910	-0.440	Zachos et al., 2005
138.610	55343.759	1.880	-0.430	Zachos et al., 2005
138.640	55345.772	1.900	-0.470	Zachos et al., 2005
138.670	55347.785	1.880	-0.370	Zachos et al., 2005
138.700	55349.797	1.840	-0.360	Zachos et al., 2005
138.730	55351.810	1.800	-0.500	Zachos et al., 2005
138.790	55355.835	1.730	-0.580	Zachos et al., 2005
138.820	55357.848	1.760	-0.470	Zachos et al., 2005
138.850	55359.861	1.810	-0.360	Zachos et al., 2005
138.880	55361.873	1.820	-0.260	Zachos et al., 2005
138.910	55363.886	1.830	-0.380	Zachos et al., 2005
138.940	55365.899	1.770	-0.380	Zachos et al., 2005
138.970	55367.911	1.820	-0.310	Zachos et al., 2005
139.000	55369.924	1.850	-0.240	Zachos et al., 2005
139.030	55371.937	1.760	-0.520	Zachos et al., 2005
139.060	55373.949	1.800	-0.210	Zachos et al., 2005
139.090	55375.962	1.730	-0.540	Zachos et al., 2005
139.120	55377.975	1.800	-0.410	Zachos et al., 2005
139.130	55378.646	1.780	-0.340	Zachos et al., 2005
139.140	55379.316	1.760	-0.670	Zachos et al., 2005
139.150	55379.987	1.760	-0.480	Zachos et al., 2005
139.160	55380.658	1.830	-0.190	Zachos et al., 2005
139.170	55381.329	1.790	-0.300	Zachos et al., 2005
139.180	55382.000	1.860	-0.250	Zachos et al., 2005
139.190	55383.366	1.820	-0.390	Zachos et al., 2005
139.200	55384.733	1.700	-0.560	Zachos et al., 2005
139.210	55386.099	1.750	-0.370	Zachos et al., 2005
139.220	55387.465	1.790	-0.380	Zachos et al., 2005
139.230	55388.831	1.800	-0.250	Zachos et al., 2005
139.250	55391.564	1.790	-0.540	Zachos et al., 2005
139.260	55392.930	1.800	-0.320	Zachos et al., 2005
139.270	55394.296	1.800	-0.170	Zachos et al., 2005
139.280	55395.663	1.790	-0.370	Zachos et al., 2005
139.290	55397.029	1.810	-0.340	Zachos et al., 2005
139.300	55398.395	1.700	-0.620	Zachos et al., 2005
139.310	55399.761	1.790	-0.400	Zachos et al., 2005
139.320	55401.128	1.730	-0.360	Zachos et al., 2005
139.330	55402.494	1.740	-0.380	Zachos et al., 2005
139.340	55403.860	1.730	-0.370	Zachos et al., 2005
139.350	55405.227	1.640	-0.550	Zachos et al., 2005
139.360	55406.593	1.660	-0.450	Zachos et al., 2005
139.370	55407.959	1.680	-0.370	Zachos et al., 2005
139.380	55409.325	1.640	-0.370	Zachos et al., 2005
139.390	55410.692	1.540	-0.560	Zachos et al., 2005
139.400	55412.058	1.540	-0.590	Zachos et al., 2005
139.420	55414.790	1.560	-0.600	Zachos et al., 2005
139.430	55416.157	1.500	-0.570	Zachos et al., 2005
139.440	55417.523	1.490	-0.520	Zachos et al., 2005
139.460	55420.255	1.500	-0.530	Zachos et al., 2005
139.470	55421.622	1.480	-0.510	Zachos et al., 2005
139.480	55422.988	1.470	-0.530	Zachos et al., 2005
139.490	55424.354	1.490	-0.530	Zachos et al., 2005
139.500	55425.720	1.430	-0.630	Zachos et al., 2005
139.610	55440.749	1.400	-0.640	Zachos et al., 2005
139.620	55442.116	1.410	-0.520	Zachos et al., 2005
139.630	55443.482	1.350	-0.600	Zachos et al., 2005
139.640	55444.848	1.320	-0.580	Zachos et al., 2005
139.660	55447.581	1.320	-0.600	Zachos et al., 2005
